City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
318,Tura,IN,25.5198,90.2201,61.97,56,1,1.19,clear sky
319,San Carlos,VE,9.6612,-68.5827,79.2,63,84,4.47,broken clouds
320,Lorengau,PG,-2.0226,147.2712,83.64,76,99,7.54,overcast clouds
321,Mount Gambier,AU,-37.8333,140.7667,87.71,19,0,14.97,clear sky
322,Flinders,AU,-34.5833,150.8552,74.48,64,44,8.99,light rain
323,Clyde,US,41.3042,-82.9752,30.51,75,89,11.16,overcast clouds
324,San Vicente,AR,-26.6167,-54.1333,58.8,63,0,2.82,clear sky
325,Chateaudun,FR,48.0833,1.3333,46.63,84,30,11.52,scattered clouds
326,Aksum,ET,14.1245,38.7244,53.76,48,21,2.75,few clouds
327,Abonnema,NG,4.7084,6.7931,77.32,86,0,3.06,clear sky
328,Bowen,AU,-20.0167,148.2333,84.42,58,83,18.54,broken clouds
329,Khani,GE,41.9563,42.9566,24.37,87,89,5.55,overcast clouds
330,Ambon,ID,-3.6954,128.1814,87.94,66,40,4.61,scattered clouds
331,Tocopilla,CL,-22.092,-70.1979,69.28,63,0,1.32,clear sky
332,Santiago,CL,-33.4569,-70.6483,75.29,44,0,13.8,clear sky
333,Kudahuvadhoo,MV,2.6708,72.8944,81.28,64,20,11.01,few clouds
334,Kamenka,RU,51.3223,42.7678,16.75,99,92,6.42,overcast clouds
335,Hay River,CA,60.8156,-115.7999,8.58,85,40,5.75,scattered clouds
336,Vao,NC,-22.6667,167.4833,80.89,82,42,11.63,scattered clouds
337,Porto Velho,BR,-8.7619,-63.9039,73.45,94,0,2.3,moderate rain
338,Narayangarh,IN,30.4833,77.1333,55.02,68,36,2.28,scattered clouds
339,Trinidad,BO,-14.8333,-64.9,70.23,99,100,2.93,overcast clouds
340,Beterou,BJ,9.1992,2.2586,73.69,22,0,3.31,clear sky
341,Griffith,US,41.5284,-87.4237,30.13,80,0,5.01,clear sky
342,Houma,US,29.5958,-90.7195,46.4,68,1,3.44,clear sky
343,Abay,KZ,49.6311,72.8539,17.98,90,93,9.28,overcast clouds
